,Número da Página,Texto da Página,Tempo de Processamento (s)
0,1,"ava DE ETERNA: sds
A

EEMENTO

[
E Md

ie Li Oo É a

— INTERNATIONAL MEAL COMPANY AUMENTE ticos CONTRNTã
- ROPORTO ERNACIONAL CONGONH SN DANFE DO Po age
me praga pera Documento Auxiliar de
o Et ga sra | MD)
Tal. 1Fax O - Entrada

39.18.11 17314329000553
1 Saída

Z a FO nd.
= e — a q ni

Nº ODO0BT7AS FL. 1/4
NATUREZA DA OPERAÇÃO
onda produção do estabelecimento —

| INSC. EST. SUBST. TAIB. | cnps |
DESTINATÁRIO REMETENTE NTE |

 NOMEMRAZÃO SOCIAL
EECHETARIA ADM, PRESIDÊNCIA DA REPU

0090961793 - 45 dias

CÁLCULO DO IMPOSTO

BASE CÁLCULO ICMS

4 | 110,06
| À | E ISCRIÇÃO ESTADUAL

UTOS/SERV = VL. UNIT. ER raE =]
CÓD, PROD DESC RIÇ ÃO DO PRODUTO/SE RVI í, eo RESETE [E Qro

ó ri
| | LOOK
Phh: SOM |
j |
KIT REFPEIC a | 1

BASE CÁLCULO ISS '

ENDEREÇO

QUANTIDADE ESPÉCIH

00000

SANDUÍCHE BEIRUTE To Tribui 245,25 2106.90,90

INSC. cara

116998771118

RESERVADO AO FISCO
EMENTARES o |
ções comer ret. Partilha do ICMS - Valor ICMS 97.68
Velo! dev!

ESCAV - 02/11/18 - 14H00
CIMENTO VOO
FORNE

Esto QUE 9 material e/ou serviço constanto
SAULO SÉRGIO DUTRA GARCIA Enio te Neta lseal/T: tura foi recebido
| Ee de Tributos da Nota: 180,38
To

: o
ha Fe
Ri LRP
re: =

Ten Ea As as: : e SB
PNsessor Mina, . Cleitrr! E

",102.53098678588867
1,2,"É SABAO. 1105 1800 19 23 E Pa
|-20 - NF-e - Nota Fiscal Eletrônica de Servi iços - São Paulo Página | ne

NOTA FISCAL ELETRÔN

Fa — = ELETRÔNICA DE SER - NF
111081 73143729000120 Eno RPS Nº 5539 Série CONV, emitido em beca não:
PRESTADOR DE SERVIÇOS
CPF/CNPJ: 17.314.329/0005.55 ds cão Municipal: 3.388.830-1
Nome/Razão Social: INTERNATIONAL MEAL COMPANY ALIMEN AÇÃO S.A.
Endereço: AV WASHINGTON LUIS SAN - AEROPORTO - CEP: 04662-000
Município: São Paulo UE: SP

TOMADOR DE SERVIÇOS
Nome/Razão Social: SECRETARIA ADM. PRESIDENCIA DA
CPF/CNPJ: 00.394.411/0001-09 Inscrição Municipal: —
Endereço: PRACA DOS TRES PODERES S/N - EIXO MONUMENTAL - CEP: 70100-000
Município: Brasília e UF: DF E-mail. ——

INTERMEDIÁRIO DE SERVIÇOS RE.
CPF/CNPJ: cm * Nome/Razão Social: — O ————— O
DISCRIMINAÇÃO DOS SERVIÇOS IR

000010 HANDLING FAB QTD: 1,000 UN Preço: 75,00

Atesto que o moteflal e/0U serviço constante

da presente Nisa Fisvál/a atuia fOÍ recebido,

e aceito é que 08 valores apresentados estão

corretos e em conformidade com o

Empenho/Contrato, RR
” 1,01 |

Código do Serviço | |
07960 - Serviços aeroportuários, utilização de aeroporto, movi

sm

= - E = = = - ”
| | Ef : Ma Ea Na,
E ui 1 RR . ad F, a p > a : Í .
a Eu = Ei 1 = a hi e nã Es a ma - = i y
j É r E E um e pi am q mm a j
- E ; : E io 7 a apso E E = mm e 4] d
d am PE MB |
j Pic [ . 1 F e o +
] , : | ! mo. !
Ú pa ) ' AL, E À À , '] h * ""2
“ Fil | o TE sa ei | 1 H )
= = = ""go A) = nl E E , ] IP E
e == 4 E a 1 om a “ia E Ee o a - , |
=.) í re E e À o pm o . | Er 4 * | 1
| - = E, nr e - = - == a = im E Rg = per 4 co asd | |
| Sep ia gde pa at ti indie os di io ae a a = CR -—
= m - | a p= E a a: RS quim = a +, Mação. : Tai, JU caca ie pie Ls 10
; vw. sair ITA til: “0 EM. tired |
B r n o. Equal ú A É, Ê À a L ! a pr | y LE na , | UT E |
Á : ami + = ri fi 7 e : a ço e si Ea ÃO TD a rip a? ) ]
E NE
nm ar | |
Fo I |
gr =. E ] TE 7
. a a js a o ea e : Ei io 1
= PR tn o fas ame ge pm Da O
Ê ar ; á o ; E nm ]
4 1? = Ea Fado DN
j : E E - o a |
( 31 ] | = As - I | Ê e É | j À ; E . q q |
b E a) |
À e r A “2 F ; a pn | ] |

| (1) Esta NFS-e foi emibda com respaldo na Lei nº 14.097/2005; (2) Esta NFS-e substitui o RPS Nº 6539 «
08/11/2018: (3) Data de vencimento do ISS desta NFS-e: 10/12/2018,

",84.14228653907776
2,3,"35.18.11.173:432000 006 000087796. 1127484052

| DE ACESSO P' CONSULTA DE A

SOC 351811173142720000552550060000

SCE TARA ADM, PRESIDENCIA DA REPU

PRAÇA DOS TRES PODERES S/N — 1 00.394.471/0001-09 e
BRASILIA | TELEFONE” | MONUMENTAL 70100-000

as JA.

0090961756 - 45 dias | E a

CÁLCULO DO IMPOSTO

BASE CÁLCULO ICMS VALOR DO ICMS.
298196 .
VALOR DO FRETE
F NSPORTADOR/VOLUMES TRANSPORTADOS
Rs SOCIAL

“ENDEREÇO

QUANTIDADE “ESPÉCIE

00000 [a 000 1 0,000 KG
DADOS DOS PRODUTOS/SERVICÇOS.. | | | | | | ip
CÓD. PROD,| DESCRIÇÃO DO PRODUTO/ERVIÇO E UNTT to
“—AEGOOAS Se KIT RÉEFÉICAO ESPECIAL CABINE PE Ta TaboP 05.909 Cx EN OTA 81544 ais. ta? , k

113,22
| A : | ã | oa 140,1 | OU TAMIL 00 |
18000167  % KIT REFEICAO COMITIVA Tas, Tribul: 2106.90.90 514 E as Tr ..
212,22
. j TUK OU
18001206 KIT REFUICAO TRIPULACAO Tot. Trial: 104,90.90 tor ! 5 ss sd 849 IS2, 0, À
231,51
dado RD Es ni ""4 40 10.90 Y g o 00 FOnLOC 100,0 18, 0,0 TX 0,00
18000473 PRATO DE FRIOS Tot. Tribal: 27d 40,
1d 7 Fer 71 14 71 y pa JAR TAX OK
18000577 PRATO DE FRUTAS Tou Tribut: 19,35 810.10,00 1 LX
| mas : E | A e VA sue SM 74,872 0,0 TX D.C
ROO MITOS SANDUICHE BEIRUTE Tot. Tribut; 112,81 BIG ex Ur
E! | » E 1 go | pa
18000167 « KIT REFEICAO PADRAU Tot. Tribul: 44,340 106.90.90 rr É or ] , 126.06 n”. OX 1X 0,0
| A SW 4 de “À | cwl |
[8000255 GELO EM CURO Tot. Tribal: 6,31 2301.90.00 ex 16.000 1, a fo. pa e. 4,1 00X TX OK
298 REFRIGERANTE LATA 350ML Tot. rita: 2012.10.00 Dor 45H00 Tas 744 13 0, TX 00X
1800029: gr
ses Ao É ot. Tribo: 18,32 106.90.90 XX A. 129, 129,80 3 0.0 TA LO
« KIT LANCHE € ARBINE PR Toa. |
[8000828
B

BASE CÁLCULO ISS
0.00 0,00

CIONAIS

DADOS re HESESWADO AO FER
REFORMAÇÕES CONPAINT stario ref. Partilha do ICMS - Valor ICMS 262.4 testo que q Material a
| valo! AT O CABINE PRESIDENCIA - 02/11/2018 - BHOO da presente Not a e/01 ÉfVivo ga

FORNEC om et e aceito e que 68 valo eU Fatura toi res

total de Tributos da Nota: 484,57 e emo : “SO titad, gado,

corretos
Empenho/Contrato.

",73.09001445770264
3,4,"a
= ii ss asd

— SFIscal Eletrônica de Serviços - São Paulo Página 1 de 1

“pd À UNICÍPIO DE SÃO PAULO 00 TESE Zbl
“SE TÁRIA MUNICIPAL DA F; ZENL

AL ELETD/ ar
RPS Nº 654 SL RÔNICA DE SE

RVIÇOS - NFS-e
NV; emitido em 08/11/2018

| PRESTADOR DE sERvA T
CPF/CNPJ 17.314.320n SERVIÇOS
A Nome/Raz DOSES

| Municipal: 3.386.830-1
| dO Social INTERNAT) Inscrição

| | ATONAL MEAL COMP LIMENTAÇÃO S.A,

End ANY ALIMENTAÇ

CAPORA FETOÇO: AV WASHINGTON U

Código de Verificação
VJKB-BWT7J

a, LUIS S/N - AEROPORTO . P: 04662-000
Uremo Município: São Pauio e
TOMADOR DE SERVIÇOS
Nome/Razão Social: SECRETARIA

TA ADM. PRESIDENCIA DA REPU
CPF/CNPJ: 00.394.411/0004 .09 +
Endereço: PRACA DOS TRE

Inscrição Municipal: —-
S PODERES SAN - EIXO MONUMENTAL - CEP: 70100-000
b Município: Brasília UF: DF E-mail; es
INTERMEDIÁRIO DE SERVIÇOS
CPF/CNPJ: suma

Nome/Razão SOcial: um

DISCRIMINAÇÃO DOS SERVIÇOS
JUÚD10 HANDLING BOEING PRESIDENCIA QTD: 1,000 UN Preço: 150,00

| ; € * 185,00
VO0O020 HANDL ING DESCARREGAMENTO HIGENIZAÇÃO QTD: 1,000 UN Preço '

Atecto que o material e/0u servico RR |
da presente Nota Fisoal/Futusa fol rece do |
e aceito é que 08 valores apresentados estão
corretos e om conformidade com o

Empenho/Contrato.
/
Bm, L 0) 5 O) <A 7
ss. Es MA
ALEXANDRE DE CARVALHO

Ten Cel Ay
Assessor Militz

VALOR TOTAL DO SERVIÇO = R$ 335,00

co) COFINS (R$) PIS/PASEP (R$)

- | same orto, movimentação de passageiros, e congéneres. | |
- Serviços aeroporto -e de Cálculo (R$)
07960 Deduções (R$) Base 335 DO 5,00%
Valor Total das LX

RIBEIRO

16,75 |
0,00 SECO Número Inscrição da Obra Yalor Aproximado dos Tributos f Fonte
Município da Pres
: OUTRAS INFORMAÇÕES
mo do ISS desta NFS-e: 10/12/2018, 7 Se SUSILI O RPS Nº 6540 Série CONV, emitido em
oi emitida com NFS-e: 10/ |
E a, S-e foi emib imento do ISS desta
(1) Esta NF ta de vencimermnte
(3) Data
08/11/2018: (

",92.49810791015625
4,5,"O e =

TONA Mes COMPANY AL IMENT os PRODUTOS CONSTANTES DA NOTA FISCAL ABAIXO

IDENTIFICAÇÃO E ASSINATURA DO RECEREDOR RESERV
AA EASTLTTTITLESNTIALTLADTLASDATISEALTADADSADADDA aa (RicÃA SAS: tos

ss st. comes enem 55 006.000088401- !

a ECA NONAL MEAL COMPANY ALIMENT.
AEROPORTO IN? E ENACIONAL CONGONH SN

JO AEROPORTA e
SÃO PALRO SP

Das 91º
Toi Fam

TRATUREZA DA OPERAÇÃO

| IESCRIÇÃO ESTADUAL

o cod MM
DESTINATÁRIO REMETENTE

| NOME RAZÃO SOCIAL mu

| SECRETARIA ADM. PRESIDÊNCIA DA REPU

| ENDEREÇO
| PRAÇA DOS TRES PODERES SN

FATUR EDNA onto E
| 00909671 25 -45 das |
SPORTADOR/VOLUMES TRANSPORTADOS
ALHOS MOCIAL
NnADOS DOS PRODUTOS |
COD. PROD. | R EE ESET IEEE ICMS cus [air]
| [SINNIDAS | KIT RPFER AM TRIPUI AS MA Tua Ties E om a o RS | 4 mam l. Eis
No, 1% | |
| SOU ap) SANTHMAICHE DE PERA Tue Tras “4 e O we z “w LER, X QL p 04
| 14X
[RU E TOS | SANTAICHE REBATE Ta Erime AM tes e a a Ra: Es am 2 JAR TAM
ão Ê
E SOCUOSS REFRIGERANTE LATA LUAR Tout Trib o 00 “a 4 o 1(Y 7x 14X
(Om
[SNIS ACRA MENFRAL SEM GAS LA Tx Trail > ot mA Gp 1 12"" E! 74 LON TX Tr
NR. )
+ SOODSS GELO EM CUBO KO Pos Tubes “o ENC Mo Ra a Rotas ba o Ne | 4,43 10X ERVA IRC
k
, !
| 1
| 1 h is E |
1 EPL Sp ""
“E PS ai DE ne = Ra E
| | | = RT, pe ar!
| | EO is SRA
] e a.
| pao an
f E) E Pi
| , Es | | j
Ê CRS =
| do:

| Ea resssemens |

Vos dedo do Sessnataso vet Pastiha do CS - — Wear CMS *S da def ee Stand
| ATENDIMENTO VOO PRESDENCRA EM 24* 1203 | e even . vs | |
morto ce do sa o gaia

| PN
- + E
1
",69.97301864624023
5,6,"==
oo

” li. 0 si =
E = Oh
q E = Ee fc. -

1 7,.314,329/
0001-270 - NF-e - Nota Fiscal Eletrônica de Servi

iços - São Paulo Página 1 de |

EO Orç; a
PREFEITURA DO MUNICÍPIO DE SÃO PAULO 000076 NB /
SECRETARIA MUNICIPAL DA FAZENDA Data e Hora de | Emi dBÇÃ as

29/11/2018 17:11
NOTA FISCAL ELETRÔNICA DE SERVIÇOS - NFS-e Código de Verificação
dido Nº 9962 Sério CONV, emitido em 29/11/2018

RIVHJBHR
“PRESTADOR DE SERVIÇOS
CPF/CNPJ: 17.314.329/0005.53 insenção Municipal: 3.386.830-1
Nome/Razão Social. INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.
Endereço: AV WASHINGTON LUIS S/N - AEROPORTO - CEP: 04662-000
Município: São Paulo UF: SP

TOMADOR DE SERVIÇOS
Nome/Razão Social: SECRETARIA ADM. PRESIDENCIA DA REPU
CPF/CNPJ: 00,394.411/0001-09 Inacrição, MURNGIDO, =
Endereço: PRACA DOS TRES PODERES S/N - EIXO MONUMENTAL - CEP: 70100-000

Município Brasília | UF: DF E-meil. —

INTERMEDIÁRIO DE SERVIÇOS
CPF/CNPJ, uma Nome/Razão Social. —
DISCRIMINAÇÃO DOS SERVIÇOS
000010 HANDLING PRESIDENCIA PR QTD: 1,000 UN Preço: 150,00
000020 HANDL ING DESCARREGAMENTO HIGENIZAÇÃO QTD: 1,000 UN Preço: 185, UU

Atesto que o material e/ou serviço constante
da presente Nota Fiscal/Futura foi recebido
e aceito e que el valores apresentados estão

corretos e confo com o
MEL:
AIJ IA SOM
SABLOMANÍCIUS SOBREIRA

PY]
4

Maj Av
Assessor Militar - GSIPR
VALOR TOTAL DO SERVIÇO = R$ 335,00

e ádigo do Serviço
07960 - Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, e congêneres.

Valor Total das Deduções (R$) Base de Cálculo (R$) | Alquota (%) Valor do ISS (R$) Crédito (R$)
0,00 335,00 5,00% 16,75

Município da Prestação do Serviço Número scição da Obra Valor Aproximado dos Tributos / Fonte

OUTRAS INFORMAÇÕES |

(1) Esta NFS-e foi emitida com respaldo na Lei nº 14.097/2005; (2) Esta NFS-e substitui o RPS Nº 65682 Séne CONYV, emitido em
| 20/11/2018; (3) Data de vencimento do ISS desta NFS-e: 10/12/2018,

",69.33036923408508
6,7,"ind 7 ais

b o =

mena TONAL MEAL COMPANY rr
TO SEMUS ALIMENT

; NM + 2
:. | Bo F NA as

na (PERAÇÃO
ção o entatpiacemento
an ut aindas

ah.)

as 5%
a”

E EEE

E STINATÁRIO REMETENTE
a MA DO BONS AS
ECRE TAPA ADM Par SIDENCIA DA REPU
Me RE Oo

RAÇA DOS TRES LATES PODERES S/N

aq EO)

Rama

AIURA

VIGOVG 7135 - 45 dias

SALCULO DO IMPOSTO
BASE CÍLCAMO ICMS VALOR DO ICMS
PER | 420,00

FM OR DO PRETE VALOR DO SEGURO

0,00 0,00

TF SPORTADOR/VOLUMES TRANSPORTADOS

RAZMA. HKMAI

| ENDEREÇO

(QUANTIDAIM

00000

| E e
Ê OS PRODUT Joao : VL. UNIT. Jwerora | meus | vetos
(CÓD, PROD | DESCRIÇÃO DO PRODUTO/SE RVi O NCM/SH a 75,6%

""NTET
KIT REPEI ÃO P ADEÃO Tot, Tribos: VI4 AV OS PO 9%

INSC. MUNICIPAL. 11699877111B. = -—

DADOS ca Ea |

PO dedo so destratar adiadas = sis pente Roe Fi: Reto + ViÇO cons
cid et es É Nota: Es 25 E Pucesto 7 e os Valores

ne a] q

",68.26751565933228
7,8,"PREFEITURA DO MUNICÍPIO
DE
SECRETA Mn Ca rea

NV. amido em SF 12018

DE SERVIÇOS

as PRESTADOR
PS 17 314 329/0005-53

| 29/1 1/2018 17:22:85) ).
Código de Venficação

 XASV-DM2E

TOMADOR DE SERVIÇOS

SECRETARIA ADM. PRESIDENCIA DA REPU
00.394.,411/0001-09

inserção Municipal: —-—
ENA LOS TRES PODERES SAN - ndo asp trama am CEP: 70100-000

TEOTÁRIO | DE SERVICOS

he a o Cs F | ——

DISCRIMINAÇÃO DOS SERVIÇOS

'AB- PRES IDENCIA QTD:

VALOR TOTAL DO SERVIÇO = R$ 75,00

Atesto que o material e/
da presente Nota Fisca
e sr e qu os valo

ou serviço constante
VFatura foi recebido

f

bd res apresentados estão
Empenho Conto O gs
SAULO VINÍCIESS] de MEIRA.

Maj À
Assessor Murtar - GSIPR

ds

rtuários, utilização de sis cen movimentação de passageiros, e congêneres.
Bsse de Cálculo (RS)

Código do Serviço
07960 - Serviços ui
5,00%

OUTRAS INFORMAÇÕES

respaldo na Lei nº 14 097/2005. (2) Esta NFS-e substitui o RPS Nº 6563 Série
nto do ISS desta NFS-e: 10/12/2018:

Município da Prestação do Serviço

(1) Esta NFS-e foi emtbdsa com
20/11/2018; (3) Data de vencime

375 (R$)

Valor Aproximado dos Tributos / Fonte 2,00

CONV emitido em

",72.67270231246948
8,9,"on a ca COMPANY ALIMENT OS PRODUTOS CONSTANTES DA
E E | DENTIFICAÇÃO E ASSINATURA DO RECEBEDOR del

-. ” ie “ do A E SM MA TS

aee ERRA TONAL MEAL COMPANY ALIMENTO SSI Nso

e AEROPORTO INTERNACIONAL CONGONH S/N abs
4) AEROPORTO
SAO soon SP

Tel Fax

ENCIA DA REPU

O DO IMPOSTO
e VALOR DO ICMS

| EASE |
JORTADOR/VOLUMES TRANSPORTADOS | dar E” Aa
o "" EsSs E

ESPÉCIE TIE AÇÃO

SEER AEE SE

DESCRIÇÃO DO PRODUTO/SERVIÇO
06 a) 90 TIME -—— 0,00

KIT REFHIC AO ESPIS IAL To Tribut
20

R RE Atesto que o material e/ou servi
ge rio ref. Partilha do ICMS - Valor ICMS 174.45 da presente Nota Fiscal/r.: nes dd |]
DNC SEM AS 122078 e aceito e que os valores apresen

Nota 322.14 corretos e em conformidade ado,
mas E

Em, U +/0 ROL IN á

Pv 7 -
; ""hd JA

Stessor À Ta no. et = | E

",78.25733613967896
9,10,"IPAL DA FAZEND — 00007723
NOTA FISCAL ELETRÔNIC ê
TES Nº 8599 Série CONV.

É dai ad mg] q
++ 71941 721 4329000120
Ê Mm a

ESSE em Toe Ig;
ETC a E: | nd o medi
NºS 17314 320m008.63  — ADOR DE SERVIÇOS
| Endereço: Ay WASHINGTON 1 OMPANY AL
MA avisa ON LUIS san -
TOMADOR DE SERVIC

Nrmraliarão mei cal | | | Os
| PER: 00.304 bopptm ADM. PRESIDENCIA DA REPU q

endereço: PRACA DOS TRES PODERES SAN ""Senção Municipal: —

: - EIXO EP- 704
| Município: Brasília JONUMENTAL - CEP: 70100-000

UF- DF E-mail: —
co SE INTERMEDIÁRIO DE SERVIÇOS

Nome/Razão Social: —

DISCRIMINACÃ
00010 HANDLING FAB QTD: 1,00 7E SÃO DOS SERVIÇOS

UN Preço: 75,00

Atesto que o material e/ou servico constante
da presente Nota Fiscal), «4 toi recebido
e aceito e que os vaiores apresentados estão
corretos e em conformidade com Oo
Empenho/Contrato.

Em, O +40] (4

'LEXANDRE AUGUSTO PI VESAN
lenCel4y dj
VALOR TOTAL DO SERVIÇO = R$ 75,00 Assessor Militar - Gs]pk

rege GER | CSLL (R$) COFINS (R$) PIS/PASEP (R$)
“Sigo do Serviro R in ão de passageiros, e congêneres.
er pa - de aeroporto, movimentação 5 |
“880 - Serviços aeroportuários, o e =. Valor do [55 (R$) Crédito (R$)
— “XE Gas Deduções (R$) | B=se de Cálculo 75.00 | | 3,75 | O,0C
| Í 7 Número Inscrição da Obra Valor Aproximado dos Tributos / Fonte
durscipio da Prestação do Serviço = -
OUTRAS INFORMAÇÕES
sido na Lei nº 14.097/2005, (2) Esta NFS-e substitui o RPS Nº 6599 Série CONV emitido em
22018. (3) Desa de vencimento do ISS desia NES-e: 10/01/2019

Data e Hora de Emissão
ADESERVIÇOS.NFso [19/12/2018 16:08:47

Ji pl no

",76.06329584121704
