,Número da Página,Texto da Página,Tempo de Processamento (s)
0,1,"06:21:42

HOTEI. SÃO GERAIDO 4 o,
T. DE ALMEIDA - ME Pa O E
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000 5
MOSSORO RN Fone.:8433312628 Fax.:8433312628 »
C.N.P.J 35.645.019/0001-70 Ins.Estadual: >, PÁ
EXTRATO DO APARTAMENTO 00319
TE im a o a e E 2 E A Sm ee RT +
| Nr.da Reserva.: 00010311 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO
| Chegada....... : 20/06/2021 dom Room Night .s.s 4 Saida.: 24/06/2021 qui |
| Nr.do Voucher.: |
| Hospede(s)....: MARCOS XAVIER DA SILVA/ |
| |
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA |
| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA |
| Telefone...... ê Map: Com Cafe |
| Quant.Pessoas.: 1/0 Forma de Pag.: 1 - Hospede ' Pagina.: 01 |
+-————————— tome esses ml DDD DDD —-—=——— +-———000000— 000 —— +
| Data | Descricao dos Produtos/Servicos Comanda | valor
+-————————— teens Doce DDD ans DDenD DD ==> == +-———0>02 000 ————— +
| |[DIARIA | |
[20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
[21/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
É pel 1 DIARIA INTEIRA 00000000 | 100,00 |
[23/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
+-————————— +==—>>=0 02.020. 1... === 20=2==——— +->>>——00 0000 ————— +
DIARIA | 400,00 |
-=ecanas nl nan DDD DDD 0>-————— +-——0000000 00 ———+
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00
TOTAL GERAL 400, 00

",3.1630122661590576
1,2,"EN
",0.930656909942627
2,3,"pe sEasas cosnoces 2.9.50.00 7 RESERVADO

p4/ 21
aa una mm Sa amem Dra “O
HOTEI. SÃO GE LDO w S
T. DE ALMEIDA - E
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000 b
MOSSORO RN Fone. :8433312628 Fax. :8433312628 ”
C.N.P.J 35.645.019/0001-70 Ins.Estadual: » AE TA
EXTRATO DO APARTAMENTO 00318
flodeca-coo SS smsssdc=>-=coomen Sonsnanas-Denacancanca=asse===22202020200 00.00 +
| Nr.da Reserva.: 00010339 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO
| Chegada....... : 20/06/2021 dom Room Night” ..: 4 Saida.: 24/06/2021 qui |
| Nr.do Voucher.: / |
| Hospede(s)....: WELSON DE ARAUJO SIQUEIRA/ |
| |
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA |
| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA |
| Telefone...... Ê Map: Com Cafe |
| Quant. Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina.: 01 |
+-————————— psd -d DESA SERES e ae mio eim SITE SE fis a a ir a +=>—>———————————— +
| Data | Descricao dos Produtos/Servicos Comanda | valor
+--———————— ao ESET E ne ami im ie a ama adiado +->>————————————— +
| |[DIARIA | |
[20/06/2021 1 DIARIA INTEIRA 00000000 | 100,00 |
| /06/2021| 1 DIARIA INTEIRA 00000000 | 100,00 |
| /06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
[23/06/2021 1 DIARIA INTEIRA 00000000 | 100,00 |
+--———————— f-=====>=>==>>0 == 0 ==> 0 == 00 0> 00 eno ooo s=eme-=""202007 +-=>—==———————— —— +
DIARIA | 400,00 |
EE ES Eca E E o ri ei RS = SR nlhjos paia Eis e a te pe += =————————+
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00 j
TAXA SERVICO 0,00 /
TOTAL GERAL 400 cê

RESERVADO)

",3.4221599102020264
3,4,,0.9289660453796387
4,5,"06:10:34 GerHotel 1.9.50.001 ESERVAD 24/06/2021

HOTEL SAO GERALD
T. DE ALMEIDA - ME
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000
MOSSORO RN Fone. :8433312628 Fax.:8433312628
C.N.P.J 35.645.019/0001-70 Ins.Estadual:

+---—>>——0— 0200000222 202.2. 2222222222 2222222222 2220222222 2222222222 2222222222 —— +
| Nr.da Reserva.: 00010308 Padrao/Tipoí.: STD/DBL GERALDO CARNEIRO
| Chegada. ...s.. : 20/06/2021 dom Room EpbAIçãS nm à 4 Saida.: 24/06/2021 qui |
| Nr.do Voucher.: |
| Hospede (s)....: JUAN CARLOS BRILHANTE OLIVEIRA/ |
| |
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA
| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA |
| Telefone...... + Map: Com Cafe |
| Quant. Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina.: 01 |
+—>————————— +--->>>>000200020 0002020202 2220202222 0022222022 22222 —— +>——————————————— +
| Data | Descricao dos Produtos/Servicos Comanda | valor
+-—>———————— +->->>—>—220000 0000020222 222222222 22222222 — —— +>—>—>—— >>> —————— —
| |DIARIA | |
[20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
[21/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
4006/2027] 1 DIARIA INTEIRA 00000000 | 100,00 |
[23/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
+-————————— +=>>>00000000 0000200000 200 2222020022 222222 ——— +-————>—0 >>> ————— =
DIARIA | 400,00 |
===>>> >>00000020 2000212100 220000 0222222200 — — — +---———————0——————+
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00
TOTAL GERAL 400,00
VM

",3.036623477935791
5,6,,1.2236554622650146
6,7,"GerHotel 1.9.50.001

HOTEI. SAO GE DO

Te

DE ALMEIDA -— ME

RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000
MOSSORO RN Fone. :8433312628 Fax.:8433312628
C.N.P.J 35.645.019/0001-70 Ins.Estadual:

| Nr.da Reserva.: 00010321 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO

| Chegada....... : 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui

| Nr.do Voucher.: A

| Hospede (s)....: KARINA DA SILVA FIGUEIRA/

|

| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA

| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA

| Telefone......: Map: Com Cafe

| Quant.Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina.: 01

+-————————— +-D>00000 0020220202 2002202202 2222222222 22222222 22222 = —— +-——————0— 00 ——————

| Data | Descricao dos Produtos/Servicos Comanda | valor

+-————————— +-———0000 002002202 2222222222 2222222 +-————— 0000 ——————

| |DIARIA |

[20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00

|2 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00

| 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00

[23/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00

+-————————— +-=>>>0—20200 0022020200 2020222222 2222222222 2222222 222 — +>—>—————0——0———————

DIARIA | 400,00

=>. 220D2[0DDnDDDD0D0D[0D0[0[D[[[=== === —— += ———

GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO . 0,00
TOTAL GERAL 400,00

O e

PRESENTA

maes creme

Du)

papa

",3.2819950580596924
7,8,,1.0745034217834473
8,9,"06:20:48 GerHotel 1.9.50.001

===================================================S===351 24H14 Tol-====== =5mºoQ=- ==
pr, 2

HOTEL. SAO CGCERAI.DO
T. DE ALMEIDA - ME
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000
MOSSORO RN Fone. :8433312628 Fax.:8433312628
C.N.P.J 35.645.019/0001-70 Ins.Estadual:

+->--2>0000200200 0000020000 0 2020220202 2022222222 2222222222 222222222 — +
| Nr.da Reserva.: 00010312 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO
| Chegada....... : 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui |
| Nr.do Voucher.: Fi |
| Hospede (s)....: CLAUDIO MARTINS DA SILVA/
| |
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA
| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA |
| Telefone...... 2 Map: Com Cafe |
| Quant. Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina.: 01 |
+-————————— +-->-—>2——02020020 2002020000 0222222222 2222220 —>——— —— +=—>>000—0—0 00 —————— +
| Data | Descricao dos Produtos/Servicos Comanda | va ló |
+>————————— +=>>>->>>0>000—0000000 0020200222 2222222222 2-2 >>> ————— +-——>—>—0 000 —————— +
| |[DIARIA | |
[20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
|2 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
db os/200a | 1 DIARIA INTEIRA 00000000 | 100,00 |
[23/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
+—>————————— +=->>>>0>00000 0000000020 202000002. 2222222222 >= >> > — = = —— +--————————0—————— +
DIARIA | 400,00 |
===>>> 000000 0000000000 00002 22222 nam = ——— +---———>0—0——0——————+
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00 /

TOTAL GERAL

",3.3011879920959473
9,10,,1.0875296592712402
10,11,"06:08:06

HOTEI. SÃO GERALDO
T. DE ALMEIDA - MÉ
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000
MOSSORO RN Fone.:8433312628 Fax.:8433312628
C.N.P.J 35.645.019/0001-70 Ins.Estadual:

+ iu ———— —— —  — — — —— —
| Nr.da Reserva.: 00010309 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO
| Chegada.......: 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui
| Nr.do Voucher.: d
| Hospede (s)....: RONALDO ALVES CHAGAS/
|
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA
| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA
| Telefone...... H Map: Com Cafe
| Quant. Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina.: 01
+>-————————— +->D0>0>0>00>00>020>020 2020220220 2102022022 2022022222. 2222222 — +>>>>—>—— 00000 ————
| Data | Descricao dos Produtos/Servicos Comanda | valor
+-————————— +>>>0>>0>>0>0>020>00>0202020 2020220220 2222202202 2222220222 = —— +>——————0— 002 —————
| |[DIARIA |
[20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00
[21/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00
| 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00
[23/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00
+>————————— +>>>>0>00000>020020 2202022220 2 2222022222 2222222220 222 ——— +>>———000 0000 —————
DIARIA | 400,00
e) o (| a “o e O a +-=====>===.==>=——
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00
TOTAL GERAL . 400,00

",3.0297648906707764
11,12,,1.0451667308807373
12,13,"G

6:14:10 GerHotel 1.9.50.001

DESSSSSSSSSSSDDDDDDDDDDDDDDDDD5DD=D5DDDDD=D=D==D=D==========

HOTEI. SAO GERALD

24/06/2021

T. DE ALMEIDA - ME Fi,

RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000 ê

MOSSORO RN Fone.:8433312628 Fax.:8433312628 Pas

C.N.P.J 35.645.019/0001-70 Ins.Estadual: PÁ

EXTRATO DO APARTAMENTO 00305
= 2222222220 212222222222222222222022202222020222222 22 —— +
Nr.da Reserva.: 00010330 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO

Chegada....... : 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui |
Nr.do Voucher.: á I
Hospede (s)....: RAMON BARBOSA DOS SANTOS/ |
|

Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA |
SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA |

Telefone......: Map: Com Cafe I
Quant. Pessoas.: 170 Forma de Pag.: 1 - Hospede Pagina.: 01 |
-—""———————— a a

Data | Descricao dos Produtos/Servicos Comanda | valor

-————————— +=>>>000000002102020 2022022222 000 2002000202 2222220202 2224-2222 === —————+
|[DIARIA | |

20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
2 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
006/2021 1 DIARIA INTEIRA 00000000 | 100,00 |
23/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
-————————— +-=>22>0>>0>0000000020 0200022222 2220000222 po 22200 ————————+
DIARIA | 400,00 |

=>0000002000202 2020000000 2020202002 2002202222 222222222 >> —> > —>—— ——— +->——>————————————+
ERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00

TOTAL GERAL 400,00

RESERVADO)

",3.3892531394958496
13,14,,1.0654244422912598
