,Página,Texto Extraído,É uma nota?,Confiabilidade,is_nf_input,Maior valor da nota,Data mais comum
0,0,nan,0,0.9713539239537082,0,0,
1,1,"reservado

2.2 alimentação pr

foram realizadas cotações de valores junto à estabelecimentos que se dispusessem a tórnecer
alimentos acondicionados em embalagens adequadas, denominados “kit lanche” e “refeição”, cujos os
itens constitutivos se encontram relacionados nos mapas comparativos (fls 147 a 148).

visando proporcionar alimentação adequada aos agentes de segurança de área — asa e da equipe
de segurança e brigada contra-incêndio da fab, envolvidos nas atividades de segurança dos 03 (três)
eventos constantes do presente processo de prestação de contas, tanto o coordenador de segurança de área
(csa) como o oficial de transporte aéreo (ota) formalizaram suas demandas por meio do mem s/nº -
csa, de 03 de agosto de 2022 (fl 123); mem s/nº - csa, de 04 de agosto de 2022 (fi 129); mem s/nº -
csa, de 06 de agosto de 2022 (fl 136), sendo a relação dos alimentados constante nos respectivos anexos
(fls 125 a 128; 131 a 135; 138 a 141); e do ofício nº 1119/2022/cgta/dcev/scp/gsi/pr, de 07 de
agosto de 2022 (fl 142), respectivamente, perfazendo um total de kits lanches e refeições conforme abaixo

detalhado:
data local tipo refeição qtd
04/08/22 guarulhos-sp kit lanche 200
kit lanche

05/08/22 são paulo-sp e

kit lanche
a empresa selecionada para o fornecimento da alimentação foi a lanchonete tony e thais ltda,
que ofereceu o menor preço e as melhores condições de fornecimento a um custo unitário de r$ 38,00

(trinta e oito reais) tanto para os “kit lanches” como para as “refeições”, conforme consta nos mapas
comparativos de preços e nas cotações de valores para fornecimento de alimentação (fls 144 a 148).

07/08/22 são paulo-sp

| estabelecimento cnpj

fornecimento de | nº 000.026, de
alimentação 17/08/22
fornecimento de | nº 000.024, de
alimentação 17/08/22
fornecimento de
alimentação
fornecimento de
alimentação
fornecimento de
alimentação

07.363.122/0001-91

tony e thais ltda 07.363.122/0001-91

tony e thais ltda 07.363.122/0001-91

07.363.122/0001-91

07.363.122/0001-91

2.3 grades de conteção (gradis)

não houve locação de gradis nas atividades em tela.

reservado
",0,0.9680678698575932,0,"38,00",
2,2,nan,0,0.9713539239537082,0,0,
3,3,"odvahista

0s'889'9 sh

cc/80/80 9p
0s'889'9 $a “l6litloo whadviadsoh | 80-0100/f6s'tcr' co ojned 0€s turisad [9)0h

hotva ao esp/ lan | osianas olntnidatasvisa

:oxipql b/9ql) ui oplu[lisp suliojuos wrisliodo
“ttot pp 0)soge 9p 0 e 90 9p opoliad ou “qs— opneg ogg us wogepodsoy u1oo sesadsop sy
“(001 [) wosepodsoy op opeis vu opeypeiop ouojuoo “z7oz op
01s082 gp /() 2 90 9p opoliad ou “ayosg op erougueuniad v opeyror(os 107 9 “omeg oes eur)sod [20h o “mo
-x90u9 o iezifeol op vieqror odinho e opuo [joy ouisol o uioo ojejuoo opezifeol 107 “euos essa

""ttot 9p o1s0bp op /() ui epeynooxo jos e “eorqndoy vp juspisoig ioquos op vpealia epuosy op
oju9a9 oaou ieiode 9p ui] é “opa obs op apepro eu 1oo0uvuad vred qquowrepeurdour opeuoror v1oy ayost
o 9justraou “77/80/90 vip op gqueu eu qs-opnedg ogg wo epruidour ogssiu vp ouruo) o sody

/00ºllt't sh tviol

tt/80/90 10000 021820) viondeng] dy wpy oseg |
ap “ilsoto lspl9t dn | | rindrint] op silvio
oolluisa | li und | nidvaasoh | lh-1000/ls'tss'60 ap ojsupit 9p [noh
hotva bjep/uan | oíianas olntwidatanvisa

:biojs9l) 9pepiun ens op 1042] wo (nhd) ogiun pp

ojusluty[099y 9p end op orou 10d soprysaid sosiaios sop vóurizos e nnozifear onb “opeurprogns vyso olh

o jenb e “(7 sp/9] viojsod apeprun) exondexig] op orody 5 ogóensiurwpy op oseg e “ie ovôeziuesio

eum 10d opeynooxo voy uobepodsouy op oóraios o onb zoa eum (tz] 2 8ii sli) v/s [istig op ooueg ou

olitiounu op onbes opezipeos sode “oxrege vjagr) wo opeypriop ouiojuos wrisiiodo “ttot ip 0isogt ap 90
é so 9pp opoliad ou “eronderg] op sri op ohsuri] op [90h ou uosepodsoy wood sesodsop sy

(901 [1) wosepodsoy op opeis eu opeypeyp

suliojuod “ttot op oisobe op 90 e so 9p opoliad ou “qs-ojneg oeg ui eionderrg] op siviniho op ojsurit
ap [9)0h ou as-ureiepodsoy “eoruo9 | vaniwios ens op aged o “eomqndoy ep ojuopisaig 1oyuss o

o'tot'st sa

tt/80/80 ºp
00'tol'8i sa 86tll100 | wnidvaiasoh ojned oes tus pjoh
ho tva et eep/ lan | odianas olninidataavisa

:oxipql p/oql) uis oply[liop suliojuos uibisiiodo
“ttot pp 03sobe 9p 90 e py 9p opoliad ou “qs-— opneg ogg wo wsepadsowy uioo sesodsop sy

tviol

80-0100/v6s'cth' co

“bis9ji09 op ojmi] r opruoloajas

[ou ojod opezriqruodsrp 107 osedso o anb zoa ewn “opeprane ep opoliad ou (wo) sagóvorunuos
op onu) ouiod epezijyn ejes vp ogóroo] o úgejuou e uioo ojsno ionbjenb oanoy ogn

“(06 2 68 si) wobepodsoy op opeis eu opeypriop ouojuoo “ztot op 01s0br op zo 2 so op

opoliad ou yd op biiud9 | caninos ep ajied op o “ayosg op wogepodsoy e ered iojea iouour o nojuasarde

onb “omeq oes vurisag [0h oo opryjooso opuas “sojuawrsojogejso (omnenb) py) wood sodoid rejurad]

[oaissod 103 (88 [1) uosepodsoh op oanereduios edejy ou opeypeop ouiojuos “eronderg] op oureq ou

“omed 0£s op ojnsubit 9p [9)0h op sopeprurxold seu sopezipro0] jusueroua1ojard “one 0gs op vilojojou

i9]0u uiod sojejuod sjuslir]lipouil sopezi[loi uibioj “pulios rssam] ""as-omea obs op 9pepr e

yz oqvanasta

",0,0.8956937250844925,0,0,
4,4,"e

[a d

curto

rs e
|| a f

[va

",0,0.9119070518878791,0,0,
5,5,"reservado

presidência da república
secretaria-geral
secretaria especial de administração
diretoria de planejamento, orçamento, finanças e contabilidade

relatório de missão — ecônomo pr pa”

1. viagem presidencial

o presente relatório se refere às despesas realizadas durante a organização e execução de viagem
do senhor presidente da república à cidade de guarulhos-sp com a finalidade de cumprir agenda
oficial “reunião com pastores presidentes das convenções das afiliadas da convenção geral da
assembleia de deus do brasil”, conforme ofício-circular nº 434/2022/cgev/dcev/scp/gsi-pr, de
27/07/2022 (fi 12). de forma inopinada, ainda durante a execução da atividade de guarulhos, em 04/08/22,
o escav recebeu a incumbência de permanecer em atividade para cumprir agenda privada na cidade de
são paulo-sp, conforme consta nos ofícios circulares nº 444/2022/cgev/dcev/scp/gsi-pr, de
03/08/2022 (fl 14), e nº 456/2022/cgev/dcev/scp/gsi-pr, de 07/08/2022 (fl 16).

as atividades se desenvolveram nos seguintes períodos: de 1º a 04 de agosto de 2022, na cidade de
guarulhos-sp, e de 04 a 07 de agosto de 2022, na cidade de são paulo-sp, tendo o escalão avançado
(escav) se deslocado em 1º/08/2022.

houve pernoite do senhor presidente da república e de sua comitiva oficial na cidade de são
paulo-sp do dia 05 para 06 de agosto de 2022.

não houve o emprego de helicópteros.

este ecônomo integrou o escalão avançado, e não houve utilização de comboio alternativo.

2. despesas realizadas
2.1 hospedagem e sala ccom

0 o processo de cotação de hotéis iniciou-se com consulta à 03 (três) estabelecimentos da rede
hoteleira na cidade de guarulhos, local este onde seria realizada a única atividade para qual o escav fora
designado.

conforme detalhado no mapa comparativo de hospedagem (fi 38), foi escolhido o hotel slaviero
guarulhos, por apresentar o menor preço nas acomodações.

não houve qualquer custo com a montagem e locação da sala utilizada como centro de
comunicações (ccom) no período da atividade, uma vez que o espaço foi disponibilizado pelo hotel
selecionado à título de cortesia.

as despesas com hospedagem em guarulhos-sp, no período de 1º a 04 de agosto de 2022,

ocorreram conforme detalhado em tabela abaixo:
estabelecimento serviço nf nº / data fl nº valor

hotel slaviero guarulhos | 27.216.869/0010-15 | hospedagem 102909, de r$ 13.410,00
08/08/22

r$ 13.410,00

reservado
",0,0.9648244924734646,0,"13.410,00",27/07/2022
6,6,nan,0,0.9713539239537082,0,0,
7,7,"- (| credito 945,14 |

getnet”

visa
e"" 5954

via estab
06/08/22 09 03:11

getnet

analisar
17.314.329/0005-53
sao paulo sp

doc-000078 arqc:6302a069c3dsice awt:231921
cv-000000127 aid:adogd0000f1010  term-tisesi2e

credito 945,14 )

aprovada mediante uso de senha pessoal

via estab | visa
05/08/22 09:03:11 | **** 9954
analisar
17.314.329/0008-53

sao paulo . sp

doc:000078 arqc:83102a08icideice aut:23
cv-000000127 ald:adooo000031010 termenidescas

aprovada mediante uso de senha pessoal *

io caro ve a 7

rvadu,

t

via estal; visa
getnet db; db ice ds ; dy | nm. 5954
analisar
17 314.329/0005 53
sao paulo - sp

doc-000076 arqc-4a4ifoctoibiiss — aut:291821
cv-000000123 ai: adouo000031010 +erm-t1955026

credito 5.560,00

aprovada mediante uso de senha pessoal

já via estab visa

getnet | 55/08/22 090155 | =""** 9954
analisar 4
17.314.328/0005-53 ã

* sao paulo - sp ú

5 doc:000078 arqc:4a43foctoibiissf aut:231821
cv:000000123 aid: ado0d000031010 term:-1365026

- (credito 5.560,00 )

aprovada mediante uso de senha pessoal :
",0,0.9953796663958193,0,"945,14",
8,8,nan,0,0.9713539239537082,0,0,
9,9,"recebemos de lanchonete tony & thais ltda os produtos/serviços constantes

nº 000.000.0254'

série: 1

| danfe controle do fisco
lanchonete tony & thais |documento auxiliar da nota ]

ltda o - entrada
1 - saída and
3522 0807 3631 2200 0191 5500 1000 0000 2510 9900 0191

n o
av divino salvador, 104 - - planalto paulista, sao is ça consulta de autenticidade no portal nacional da

/ | paulo, sp - cep: 04078010 serie: 1 nf-e www.nfe.fazenda.gov.br/portal ou no site
| | página 1 de 1 da sefaz autorizadora

natureza da operação protocolo de autorização de uso
venda referente a cupom fiscal 135221108307734 - 17/08/2022 16:54

inscrição estadual inscrição estadual do subst. trib.

149863244119

destinatário/remetente
nome/razão social

presidencia da republica

o
enrereço bairro/distrito n cep data de entrada/saída
pc dos tres poderes, sn - palacio do, sn dia
munícipio fone/fax uf inscrição.estadual hora de entrada/saída
brasilia o o

1) fatura

cálculo do imposto

base de calculo do icms alor do icms base de cálculo do icms st valor do icms st valor total dos produtos |

ooo og o90[ 1 ago | a amo
valor do frete valor do seguro desconto outras despesas acessórias valor do ipi valor total da nqta d
o rs 0.0

transportador/volumes transportados

razão social frete por conta código antt placa do veículo uf cnpj/cpf

9 - sem frete
endereço município inscrição estadual
quantidade espécie numeração peso bruto peso líquido

dados do produto/serviço

lanche frio 21069090 10102 [6929 400,0000
maçã 08081000 [0102 | 6929 200,0000
cereal 11041900 | 0102 | 6929 200,0000
agua 22011000 40102 | 6929 200,0000
refrigerante 22021000 [0102 ] 200,0000
[7] refeição 21069090 | 0102 13,0000

cálculo do issqn

inscrição municipal valor total dos serviços

dados adicionais
informações complementares reservado ao fisco
nf-e referenciada - 3522 0807 3631 2200 0191 5900 0151 9010

0977 7989 2890

base de cálculo do issqn

valor do issqn

",1,0.9999876363692053,1,"400,00",17/08/2022
